Year,"White, Not Hispanic",Black,Hispanic,Asian,All Races
2013,79340,49630,54644,90752,72641
2012,77843,47737,53422,91400,71274
2011,76063,47255,52351,85644,69677
2010,73333,44957,51394,84584,67392
2009,73240,46046,52229,90811,67976
2008,74102,46533,51571,86185,68424
2007,73182,46631,50828,85018,67609
2006,71745,45127,50575,88293,66570
2005,68603,42454,47138,80096,63344
2004,65258,40633,45877,76517,60466
2003,63887,40131,44468,69973,59067
2002,62115,40011,44887,70047,57852
2001,62444,39248,44383,,58208
2000,61057,39178,43978,,57135
1999,58586,38462,40390,,54737
1998,55943,34139,38280,,51855
1997,53565,32964,35883,,49692
1996,50476,32460,34005,,47123
1995,48253,30400,31201,,44938
1994,46181,29259,31582,,43133
1993,44426,27229,30292,,41428
1992,41625,25450,28822,,38840
1991,40371,25043,28872,,37922
1990,39774,24814,27972,,37403
1989,38803,23995,27992,,36520
1988,36192,22477,25992,,34017
1987,34456,21161,24786,,32410
1986,32676,20232,23173,,30759
1985,30848,19335,21823,,29066
1984,29094,17966,21129,,27464
1983,27150,16614,19346,,25609
1982,25683,15747,18732,,24309
1981,24041,14856,18373,,22787
1980,22200,13970,16674,,21063
1979,20560,13002,15780,,19554
1978,18605,12028,13942,,17730
1977,16936,10791,12566,,16100
1976,15695,10096,11308,,14922
1975,14463,9247,10524,,13779
1974,13733,8661,10317,,13094
1973,12889,8192,9455,,12282
1972,11860,7501,8741,,11285
