Year," White, NH", White , Black , Hispanic , Asian , All Races 
2013,90715,86854,57047,64226,107517,83519
2012,89358,85402,56065,61728,108126,82098
2011,87237,83397,54901,60073,100676,80080
2010,85711,82142,53485,60058,103950,78877
2009,84916,81685,54184,60441,104417,78694
2008,86118,82774,54606,59898,104312,79760
2007,85627,82067,55351,59815,101738,79111
2006,82359,79224,52489,57972,101302,76329
2005,78507,75448,50306,54892,94913,72825
2004,75513,72703,48367,52510,89374,70026
2003,74353,71577,48126,51386,85895,68994
2002,72268,69848,46652,51478,83135,67326
2001,71480,69254,47424,51459,,66839
2000,70010,67818,46986,50307,,65653
1999,67522,65414,46143,47167,,63423
1998,64519,62469,41670,43841,,60266
1997,61707,59803,40420,41387,,57582
1996,58589,56898,38468,39244,,54922
1995,56057,54364,36710,36273,,52429
1994,53616,52311,35542,36715,,50395
1993,51797,50497,32270,35040,,48599
1992,50087,48899,31522,34757,,47021
1991,48657,47664,31518,35056,,45957
1990,47472,46459,31092,33922,,44901
1989,46096,45268,29881,34162,,43753
1988,43547,42703,27753,31400,,41254
1987,41593,40826,25797,29819,,39383
1986,39489,38788,25271,28698,,37443
1985,37429,36761,24122,27005,,35522
1984,35543,34969,22196,26316,,33784
1983,33141,32596,20872,23962,,31492
1982,31347,30913,20058,23064,,29840
1981,29653,29297,18783,22714,,28309
1980,27287,26962,17623,20644,,26078
1979,25160,24884,16479,19343,,24108
1978,22808,22557,15206,17373,,21890
1977,20814,20559,13419,15472,,19896
1976,19245,19021,12829,14190,,18430
1975,17767,17559,11776,13061,,17036
1974,16789,16600,10892,12725,,16099
1973,15723,15547,10282,11790,,15064
1972,14417,14246,9345,10500,,13817
