Year,"White, Not Hispanic",Black,Hispanic,Asian,All Races
2013,199110,130096,133741,227064,185206
2012,195253,123865,133459,225799,181905
2011,191064,124935,130083,212142,178020
2010,181009,115374,127010,204333,169391
2009,180341,117536,129265,234525,170844
2008,182192,117621,126754,212083,171057
2007,179042,118408,121833,204693,167971
2006,178326,116213,123684,223707,168170
2005,170771,108134,113356,195912,159583
2004,161082,102575,112534,188292,151438
2003,157061,100704,108126,167590,147078
2002,151779,102334,110014,170787,143743
2001,155015,96569,107158,,145970
2000,150534,95966,106668,,142269
1999,143006,96240,96631,,135250
1998,135558,84533,95200,,127529
1997,130603,80226,88837,,122764
1996,121410,82332,84180,,115514
1995,115218,75460,76915,,109411
1994,111698,73860,78292,,105945
1993,106563,69863,73836,,101253
1992,95699,63214,67533,,91110
1991,92055,61213,67180,,88127
1990,91082,60745,64797,,87137
1989,89468,58675,65194,,85529
1988,82085,55899,61380,,78759
1987,77889,52614,59051,,74897
1986,73941,49594,53389,,70871
1985,69313,46451,49809,,66353
1984,64631,43442,48101,,62121
1983,60217,39801,43694,,57819
1982,56872,37071,42621,,54729
1981,52514,35126,40427,,50568
1980,48176,32894,37085,,46497
1979,44846,30284,34689,,43265
1978,40485,27944,29865,,39081
1977,36794,25006,26963,,35480
1976,33851,23038,24286,,32619
1975,31157,20985,22681,,30078
1974,29526,19551,21800,,28523
1973,27941,18679,19564,,26953
1972,25728,17332,18497,,24805
