Year,"White, Not Hispanic",Black,Hispanic,Asian,All Races
2013,34688,19307,24823,39315,30509
2012,33745,18613,23760,40808,29696
2011,33121,17725,23864,37562,29204
2010,32313,17728,23073,37576,28532
2009,32882,18904,23540,37446,29257
2008,33045,19585,23715,36889,29517
2007,32898,18856,24042,38970,29442
2006,31991,18309,23612,38433,28777
2005,30562,17078,22394,36744,27357
2004,29069,16876,21390,34967,26212
2003,28618,16475,20969,31619,25678
2002,28133,16340,21008,31774,25400
2001,27941,16820,20854,,25468
2000,27705,17127,20738,,25361
1999,26848,15864,19242,,24345
1998,26094,14036,17124,,23288
1997,24655,13984,16041,,22098
1996,23633,12998,15214,,21097
1995,22960,12473,13905,,20397
1994,21454,11485,13739,,19224
1993,20951,10414,13790,,18656
1992,20439,9901,13559,,18181
1991,20171,9823,13622,,18150
1990,19989,9758,13242,,18030
1989,19266,9596,13360,,17401
1988,18252,8703,12132,,16317
1987,17419,8313,11330,,15584
1986,16496,8068,10960,,14853
1985,15739,8061,10306,,14227
1984,14988,7548,10046,,13540
1983,14049,6906,9330,,12693
1982,13347,6742,9001,,12121
1981,12545,6342,9419,,11464
1980,11778,6047,8459,,10727
1979,10858,5723,8275,,9964
1978,9805,5245,7464,,9050
1977,8953,4940,6749,,8209
1976,8407,4601,5896,,7717
1975,7762,4182,5587,,7146
1974,7516,4075,5605,,6917
1973,6936,3811,5351,,6384
1972,6436,3438,4886,,5897
