Year,"White, Not Hispanic",Black,Hispanic,Asian,All Races
2013,58389,34595,40822,67190,52322
2012,57133,33553,38990,68776,51179
2011,55481,32452,38543,65023,49842
2010,54595,32208,37881,64685,49167
2009,54521,32948,38271,65450,49534
2008,55602,33991,38012,65359,50132
2007,54965,33929,38611,66453,49968
2006,52920,32348,37934,64448,48223
2005,50806,30794,35887,61247,46301
2004,48827,29705,34271,57834,44411
2003,47848,29526,33273,55536,43588
2002,46973,28959,33322,53086,42802
2001,46322,29477,33624,,42629
2000,45664,29595,33291,,42233
1999,44224,28167,30672,,40750
1998,42736,25262,28346,,38967
1997,40616,24935,26659,,37177
1996,38783,23452,24912,,35486
1995,37261,22543,23032,,34106
1994,35164,20988,23382,,32385
1993,34204,19481,22903,,31272
1992,33381,18708,22586,,30631
1991,32537,18819,22774,,30148
1990,31982,18650,22279,,29781
1989,31079,18038,22044,,28925
1988,29519,16386,20307,,27291
1987,28219,15649,19150,,26055
1986,26789,15098,18330,,24855
1985,25382,14662,17517,,23615
1984,24092,13440,17089,,22438
1983,22534,12568,15758,,20986
1982,21443,12055,15101,,20064
1981,20323,11301,15296,,18991
1980,18916,10713,13637,,17701
1979,17486,10069,13071,,16428
1978,15870,9391,11759,,14943
1977,14484,8355,10594,,13579
1976,13507,7935,9516,,12691
1975,12443,7386,8845,,11724
1974,11801,6986,8836,,11147
1973,11095,6536,8173,,10471
1972,10239,5921,7524,,9624
