Year," White, NH", White , Black , Hispanic , Asian , All Races 
2013,347496,332999,221666,219653,383379,322343
2012,342913,329636,206952,227116,375200,318052
2011,334360,321651,215803,218124,367001,311444
2010,307480,297747,189390,211946,321998,287201
2009,310032,300497,197685,218396,430592,295388
2008,314468,303735,192577,209627,358178,294709
2007,306109,295934,197523,202628,343273,287191
2006,315193,304689,198135,209819,419122,297405
2005,303543,291412,179829,186618,323921,281155
2004,281428,272324,169556,192911,329075,263896
2003,272772,264028,162357,181430,266087,253239
2002,264864,258660,172838,192259,290931,251010
2001,277375,269162,155104,182145,,260464
2000,268005,261488,153620,190050,,252400
1999,250640,243525,153711,160392,,235077
1998,237943,232849,130383,167944,,222283
1997,230843,225140,125902,154279,,215436
1996,210783,206258,140975,145943,,201220
1995,197941,193374,122558,129917,,188828
1994,194009,190302,117433,132722,,183044
1993,183143,179473,114622,123759,,173784
1992,151952,148974,97433,104097,,144608
1991,143581,141152,91891,102435,,137530
1990,145276,142749,91901,100216,,138756
1989,144915,142449,87277,101610,,138185
1988,129359,127742,84189,98623,,124215
1987,122615,121174,81456,95252,,118000
1986,116053,114094,75366,78188,,111024
1985,107074,105359,68090,72469,,102354
1984,97482,96284,63110,71424,,93774
1983,91021,89776,56830,63272,,87359
1982,85641,84805,53961,63560,,82697
1981,78014,77241,49420,58605,,75144
1980,71915,71252,47175,54913,,69484
1979,68458,67794,42982,51410,,65984
1978,61853,61175,39748,43209,,59486
1977,56471,55816,36215,39173,,54277
1976,51737,51148,33022,34884,,49700
1975,47388,46949,29582,33968,,45644
1974,44932,44487,27395,31852,,43355
1973,43111,42640,27607,27854,,41516
1972,39874,39508,25277,28278,,38447
